idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1423,-5.704122543334961,-6.084458351135254,-5.591318607330322,-5.473361492156982,-6.6926069259643555,-6.6926069259643555,-6.717867374420166,-7.991733074188232,-8.37281608581543,-8.37281608581543,-6.060544013977051,-7.539924621582031,-6.997807502746582,-8.122284889221191
1424,-7.0048298835754395,-7.945512771606445,-8.136331558227539,-10.445428848266602,-8.812151908874512,-8.812151908874512,-8.389079093933105,-10.644638061523438,-10.863773345947266,-10.863773345947266,-8.10766315460205,-11.35029411315918,-9.01794147491455,-15.307162284851074
1425,-7.143548965454102,-8.130471229553223,-8.413769721984863,-11.000306129455566,-9.274796485900879,-9.274796485900879,-8.703327178955078,-11.063633918762207,-11.327326774597168,-11.327326774597168,-8.41491985321045,-11.811178207397461,-9.494726181030273,-16.737516403198242
1426,-6.350803375244141,-7.073477268218994,-6.828277587890625,-7.82932186126709,-7.997148513793945,-7.997148513793945,-7.665472030639648,-9.679828643798828,-10.167675971984863,-10.167675971984863,-7.537536144256592,-10.495102882385254,-8.371603965759277,-13.368149757385254
1427,-6.244771957397461,-6.932102203369141,-6.616214752197266,-7.405196189880371,-8.170614242553711,-8.170614242553711,-7.833221435546875,-9.903494834899902,-10.13113021850586,-10.13113021850586,-7.310935974121094,-10.155202865600586,-8.239665031433105,-12.972331047058105
1428,-7.308095932006836,-8.349867820739746,-8.742863655090332,-11.658493995666504,-9.378375053405762,-9.378375053405762,-8.608327865600586,-10.936969757080078,-11.467305183410645,-11.467305183410645,-7.961658954620361,-11.131287574768066,-8.764259338378906,-14.546116828918457
1429,-6.834713935852051,-7.718691349029541,-7.796099662780762,-9.764966011047363,-8.893301010131836,-8.893301010131836,-8.278532981872559,-10.49724292755127,-10.807613372802734,-10.807613372802734,-7.485992431640625,-10.417787551879883,-8.186565399169922,-12.813034057617188
1430,-5.511962413787842,-5.844257831573486,-5.27105188369751,-4.9929609298706055,-6.323508262634277,-6.323508262634277,-6.749125003814697,-8.030805587768555,-8.405034065246582,-8.405034065246582,-6.18110466003418,-7.700672149658203,-6.324176788330078,-6.775022983551025
1431,-7.618981838226318,-8.764382362365723,-9.364635467529297,-11.033462524414062,-10.518717765808105,-10.518717765808105,-10.050135612487793,-12.859378814697266,-11.932419776916504,-11.932419776916504,-9.633072853088379,-13.638407707214355,-8.989867210388184,-15.222938537597656
1432,-5.90618371963501,-6.337034702301025,-5.92808723449707,-5.044226169586182,-7.931678771972656,-7.931678771972656,-7.718102931976318,-9.242027282714844,-8.307058334350586,-8.307058334350586,-6.617514610290527,-8.282551765441895,-6.4802703857421875,-7.087210178375244
