idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
29,-5.773707866668701,-5.937489986419678,-5.504952430725098,-0.8846759796142578,-7.574886322021484,-7.574886322021484,-7.1392130851745605,-8.665827751159668,-8.882554054260254,-8.882554054260254,-5.157664775848389,-6.456812858581543,-6.73503303527832,-8.120172500610352
30,-6.749056339263916,-7.237954616546631,-7.455649375915527,-4.786069869995117,-8.46225643157959,-8.46225643157959,-8.076593399047852,-9.915669441223145,-9.992250442504883,-9.992250442504883,-6.698204040527344,-8.767621994018555,-7.212564945220947,-9.552769660949707
31,-5.469717025756836,-5.532167911529541,-4.955188751220703,-4.419119834899902,-7.128709316253662,-7.128709316253662,-8.162500381469727,-10.030211448669434,-8.622672080993652,-8.622672080993652,-5.387367248535156,-6.801367282867432,-7.09777307510376,-9.3248291015625
32,-5.248872756958008,-5.2377095222473145,-4.513500213623047,-3.53574275970459,-6.501871585845947,-6.501871585845947,-7.434624671936035,-9.059710502624512,-8.71593189239502,-8.71593189239502,-5.327927112579346,-6.7122063636779785,-6.619899272918701,-7.891205787658691
33,-5.168828010559082,-5.130982875823975,-4.353410720825195,-3.2155637741088867,-6.3623528480529785,-6.3623528480529785,-7.608502388000488,-9.291546821594238,-8.47044849395752,-8.47044849395752,-5.340482234954834,-6.731039524078369,-6.771543025970459,-8.346138000488281
34,-4.901440620422363,-4.774466514587402,-3.8186357021331787,-2.1460142135620117,-5.2928080558776855,-5.2928080558776855,-6.851657390594482,-8.28242015838623,-7.879173755645752,-7.879173755645752,-4.971791744232178,-6.178003787994385,-6.0264739990234375,-6.110930442810059
35,-5.831897258758545,-6.015075206756592,-5.679548263549805,-5.867839813232422,-7.627782344818115,-7.627782344818115,-8.398420333862305,-10.344771385192871,-9.14542007446289,-9.14542007446289,-6.445625305175781,-8.388753890991211,-6.967251300811768,-8.933262825012207
36,-5.638019561767578,-5.756572723388672,-5.291794300079346,-4.89791202545166,-7.524441242218018,-7.524441242218018,-8.283951759338379,-10.192146301269531,-8.870389938354492,-8.870389938354492,-5.94916296005249,-7.644059658050537,-7.09777307510376,-9.3248291015625
37,-5.71159553527832,-5.854672908782959,-5.438945293426514,-5.192214012145996,-7.037744045257568,-7.037744045257568,-7.7495527267456055,-9.4796142578125,-9.080207824707031,-9.080207824707031,-6.117015361785889,-7.895838737487793,-6.619899272918701,-7.891205787658691
38,-5.681178092956543,-5.81411600112915,-5.378110408782959,-5.070544242858887,-6.994604587554932,-6.994604587554932,-8.044451713562012,-9.87281322479248,-8.766274452209473,-8.766274452209473,-6.18637228012085,-7.999874114990234,-6.771543025970459,-8.346138000488281
39,-5.063376426696777,-4.990381717681885,-4.142508029937744,-2.599339485168457,-5.722123622894287,-5.722123622894287,-7.091330528259277,-8.601984977722168,-7.711006164550781,-7.711006164550781,-5.257359504699707,-6.6063551902771,-6.0264739990234375,-6.110930442810059
40,-6.160505294799805,-6.453220367431641,-6.336765766143799,-6.987854957580566,-7.890800476074219,-7.890800476074219,-8.49321174621582,-10.471159934997559,-9.284856796264648,-9.284856796264648,-7.059179782867432,-9.309085845947266,-6.967251300811768,-8.933262825012207
41,-6.301141738891602,-6.6407341957092285,-6.618038177490234,-5.906832695007324,-7.830235004425049,-7.830235004425049,-8.176721572875977,-10.049172401428223,-9.78541088104248,-9.78541088104248,-6.511190891265869,-8.487102508544922,-7.09777307510376,-9.3248291015625
42,-6.479828357696533,-6.878983020782471,-6.975410461425781,-6.621578216552734,-7.504042148590088,-7.504042148590088,-7.782958507537842,-9.524155616760254,-10.196436882019043,-10.196436882019043,-6.990077495574951,-9.205431938171387,-6.619899272918701,-7.891205787658691
