idx,construction_score,non_article_region_score,numeral_noun_region_score,just_noun_region_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
11443,-9.819799423217772,-11.895100593566896,-9.097537994384766,-8.627385139465332,-12.793400764465332,-12.793400764465332,-12.922245979309082,-16.031471252441406,-14.308774948120115,-14.308774948120115,-10.815217971801758,-14.42395305633545,-12.38381290435791,-16.06732177734375
11444,-9.63388729095459,-11.647217750549316,-8.725715637207031,-7.883736610412598,-12.551584243774414,-12.551584243774414,-12.33213233947754,-15.24382495880127,-14.08637523651123,-14.08637523651123,-9.617600440979004,-12.62752628326416,-12.318359375,-15.870960235595703
11445,-10.385736465454102,-12.649683952331545,-10.229413986206056,-10.891135215759276,-12.751837730407717,-12.751837730407717,-12.719088554382324,-15.760894775390623,-15.064352989196776,-15.064352989196776,-10.943217277526855,-14.615951538085938,-11.546464920043944,-13.555275917053224
11446,-9.572049140930176,-10.536551475524902,-8.914351463317871,-9.9244966506958,-12.51723289489746,-12.51723289489746,-11.59404182434082,-14.260833740234377,-15.032254219055176,-15.032254219055176,-9.035572052001951,-11.754484176635742,-11.253101348876951,-13.299813270568848
11447,-8.459060668945312,-9.052565574645996,-6.688373565673828,-5.472538948059082,-12.4630708694458,-12.4630708694458,-11.920324325561523,-14.695877075195312,-13.961485862731934,-13.961485862731934,-8.25489330291748,-10.583465576171877,-11.536005020141602,-14.148524284362791
11448,-9.055768013000488,-9.848176956176758,-7.881789684295654,-7.859371662139893,-12.302270889282228,-12.302270889282228,-11.77103042602539,-14.496256828308104,-14.978882789611816,-14.978882789611816,-9.781682968139648,-12.873651504516602,-10.998523712158203,-12.536073684692385
11449,-8.490511894226074,-9.096443176269531,-6.756003379821777,-5.637147426605225,-10.401123046875,-10.401123046875,-10.438106536865234,-12.719027519226074,-13.467857360839844,-13.467857360839844,-8.231348991394043,-10.548150062561035,-10.984579086303713,-12.49424648284912
11450,-8.966632843017578,-9.731817245483398,-7.711538314819336,-7.450656414031982,-10.896821975708008,-10.896821975708008,-10.359642028808594,-12.61440658569336,-14.872340202331545,-14.872340202331545,-9.007696151733398,-11.712671279907228,-9.652177810668944,-8.513083457946777
11451,-9.507880210876465,-10.45348072052002,-8.794034957885742,-9.289313316345217,-12.312128067016602,-12.312128067016602,-11.409690856933594,-14.014471054077148,-15.339484214782717,-15.339484214782717,-8.678250312805176,-11.220378875732422,-11.278934478759766,-13.393352508544922
11452,-8.312311172485352,-8.859389305114746,-6.402896881103516,-4.507038593292236,-12.638391494750977,-12.638391494750977,-11.99459457397461,-14.793659210205078,-14.47199535369873,-14.47199535369873,-8.313483238220215,-10.673227310180664,-11.572101593017578,-14.27285385131836
11453,-9.139704704284668,-9.962579727172852,-8.057683944702148,-7.8166117668151855,-12.231505393981934,-12.231505393981934,-11.507230758666992,-14.143843650817873,-15.308176040649414,-15.308176040649414,-9.655920028686523,-12.686884880065918,-11.030094146728516,-12.64682960510254
11454,-8.607172012329102,-9.25253677368164,-6.992618560791016,-5.686481952667236,-10.60379409790039,-10.60379409790039,-10.364110946655272,-12.61968231201172,-14.35663604736328,-14.35663604736328,-8.38780403137207,-10.784709930419922,-11.025556564331056,-12.633220672607422
11455,-9.383787155151367,-10.288023948669434,-8.545848846435547,-8.79294204711914,-11.22687530517578,-11.22687530517578,-10.36753273010254,-12.624244689941406,-15.61611557006836,-15.61611557006836,-9.214387893676758,-12.024585723876951,-9.652177810668944,-8.513081550598145
11456,-10.338659286499023,-11.561185836791992,-10.45559310913086,-9.34909439086914,-12.672078132629396,-12.672078132629396,-13.01036262512207,-16.148706436157227,-16.717330932617188,-16.717330932617188,-10.722739219665527,-14.28711223602295,-11.278936386108398,-13.393353462219238
11457,-8.934989929199219,-9.689102172851562,-7.683640480041504,-3.95811128616333,-12.823931694030762,-12.823931694030762,-13.197881698608398,-16.397594451904297,-15.181099891662598,-15.181099891662598,-9.684415817260742,-12.72773551940918,-11.616044998168944,-14.408272743225098
11458,-9.54669189453125,-10.504704475402832,-8.90704345703125,-6.404917240142822,-12.469239234924316,-12.469239234924316,-12.943214416503906,-16.05803680419922,-15.312170028686523,-15.312170028686523,-10.850549697875977,-14.47732925415039,-11.059500694274902,-12.73863697052002
11459,-9.186397552490234,-10.024311065673828,-8.186453819274902,-4.9931416511535645,-11.624183654785156,-11.624183654785156,-12.030912399291992,-14.841632843017578,-14.918174743652344,-14.918174743652344,-9.641729354858398,-12.66409683227539,-11.018293380737305,-12.615015029907228
11460,-10.2205228805542,-11.403830528259276,-10.21865463256836,-8.973920822143555,-11.728822708129885,-11.728822708129885,-11.968396186828612,-14.758277893066406,-16.515533447265625,-16.515533447265625,-10.969712257385254,-14.656070709228516,-9.625102996826172,-8.435446739196777
11461,-6.142954349517822,-6.991776466369629,-5.168386936187744,-6.685923099517822,-10.310165405273438,-10.310165405273438,-10.341745376586914,-12.589410781860352,-10.993104934692385,-10.993104934692385,-9.03520965576172,-11.754317283630373,-8.630033493041992,-11.677620887756348
11462,-5.506711006164551,-6.144476890563965,-3.904274463653565,-4.159868240356445,-10.394701957702637,-10.394701957702637,-10.310720443725586,-12.548044204711914,-10.969158172607422,-10.969158172607422,-8.258559226989746,-10.58934211730957,-8.70441722869873,-11.905394554138184
11463,-6.348509788513184,-7.266483306884766,-5.592668533325195,-7.5359206199646,-11.066035270690918,-11.066035270690918,-10.770633697509766,-13.161262512207031,-11.655433654785156,-11.655433654785156,-9.784686088562012,-12.878533363342283,-8.662095069885254,-11.77843189239502
11464,-5.132776737213135,-5.645505905151367,-3.1612026691436768,-2.6729888916015625,-9.892050743103027,-9.892050743103027,-9.989018440246582,-12.119108200073242,-10.409271240234377,-10.409271240234377,-8.23219108581543,-10.549789428710938,-8.544498443603516,-11.42564296722412
11465,-6.614048957824707,-7.619526386260986,-6.124534130096436,-8.595572471618652,-10.986839294433594,-10.986839294433594,-10.844478607177734,-13.259721755981444,-11.017714500427246,-11.017714500427246,-8.99998664855957,-11.708663940429688,-9.429922103881836,-14.07795524597168
