idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
3981,-8.700920104980469,-10.898472785949707,-11.784984588623047,-12.157028198242188,-11.691229820251465,-11.691229820251465,-9.930152893066406,-12.537449836730957,-12.6609468460083,-12.6609468460083,-10.306875228881836,-14.40617847442627,-9.4231538772583,-17.035743713378906
3982,-6.56372594833374,-7.6775922775268555,-7.194972991943359,-5.085988998413086,-8.665207862854004,-8.665207862854004,-7.737926483154297,-9.145342826843262,-9.03821086883545,-9.03821086883545,-7.065481662750244,-8.717885971069336,-6.510026931762695,-7.403194427490234
3983,-7.0185651779174805,-8.24614143371582,-7.953038692474365,-6.223087310791016,-8.857851028442383,-8.857851028442383,-7.707873344421387,-9.107776641845703,-9.564831733703613,-9.564831733703613,-7.286111354827881,-9.012059211730957,-7.584856033325195,-9.552852630615234
3984,-8.7825345993042,-11.007292747497559,-11.948213577270508,-12.48348617553711,-11.479926109313965,-11.479926109313965,-9.663789749145508,-12.182299613952637,-12.50412368774414,-12.50412368774414,-9.98286247253418,-13.920159339904785,-9.267321586608887,-16.56824493408203
3985,-8.658385276794434,-10.84175968170166,-11.699914932250977,-11.986888885498047,-11.466422080993652,-11.466422080993652,-9.806718826293945,-12.372871398925781,-12.587715148925781,-12.587715148925781,-10.22575855255127,-14.284502983093262,-9.375923156738281,-16.89405059814453
3986,-7.984348297119141,-9.94304370880127,-10.35184097290039,-9.290740966796875,-11.008111000061035,-11.008111000061035,-9.400041580200195,-11.830635070800781,-11.755602836608887,-11.755602836608887,-9.018593788146973,-12.473755836486816,-9.322547912597656,-16.733924865722656
3987,-7.782167434692383,-9.673469543457031,-9.947479248046875,-8.482017517089844,-10.597075462341309,-10.597075462341309,-9.021921157836914,-11.3264741897583,-11.436177253723145,-11.436177253723145,-9.155000686645508,-12.678366661071777,-8.476283073425293,-14.19512939453125
3988,-8.114760398864746,-10.116927146911621,-10.612665176391602,-9.812389373779297,-11.165465354919434,-11.165465354919434,-9.36036491394043,-11.777732849121094,-12.029709815979004,-12.029709815979004,-8.985276222229004,-12.423779487609863,-8.721575736999512,-14.931007385253906
3989,-8.167058944702148,-10.186657905578613,-10.717262268066406,-10.021583557128906,-10.946648597717285,-10.946648597717285,-9.126142501831055,-11.465435981750488,-12.043793678283691,-12.043793678283691,-9.129594802856445,-12.640257835388184,-8.37104320526123,-13.879409790039062
3990,-6.941957950592041,-8.150382041931152,-7.825359344482422,-6.03156852722168,-9.279325485229492,-9.279325485229492,-8.184480667114258,-9.703536033630371,-9.543461799621582,-9.543461799621582,-7.440850734710693,-9.218378067016602,-7.484836578369141,-9.352813720703125
3991,-9.206899642944336,-11.573112487792969,-11.247950553894043,-14.488714218139648,-10.556800842285156,-10.556800842285156,-9.588802337646484,-12.082316398620605,-12.719005584716797,-12.719005584716797,-8.51889705657959,-11.724211692810059,-10.12049388885498,-16.02977752685547
3992,-6.979095458984375,-8.19680404663086,-6.854593276977539,-6.27829647064209,-7.821844100952148,-7.821844100952148,-7.457513332366943,-8.79482650756836,-8.948915481567383,-8.948915481567383,-5.981997966766357,-7.27324104309082,-6.734931945800781,-6.304012298583984
3993,-6.947100639343262,-8.156810760498047,-6.801269054412842,-6.198309898376465,-7.5607805252075195,-7.5607805252075195,-7.228421211242676,-8.508460998535156,-8.911203384399414,-8.911203384399414,-5.8000640869140625,-7.030662536621094,-7.16413688659668,-7.162422180175781
3994,-8.909025192260742,-11.175946235656738,-10.652201652526855,-13.297216415405273,-10.43994426727295,-10.43994426727295,-9.439647674560547,-11.883442878723145,-12.010055541992188,-12.010055541992188,-7.765615463256836,-10.59428882598877,-10.176409721374512,-16.197525024414062
3995,-8.815828323364258,-11.051684379577637,-10.46580982208252,-12.924432754516602,-10.801124572753906,-10.801124572753906,-9.636329650878906,-12.145686149597168,-12.087647438049316,-12.087647438049316,-7.844642162322998,-10.712828636169434,-10.183606147766113,-16.2191162109375
3996,-8.87258529663086,-11.127360343933105,-10.57932186126709,-13.151456832885742,-10.270419120788574,-10.270419120788574,-9.346393585205078,-11.75910472869873,-12.195716857910156,-12.195716857910156,-7.294126987457275,-9.887056350708008,-10.160550117492676,-16.149948120117188
3997,-8.42547607421875,-10.531214714050293,-9.685105323791504,-11.36302375793457,-9.918377876281738,-9.918377876281738,-8.98411750793457,-11.276069641113281,-11.773258209228516,-11.773258209228516,-7.2418131828308105,-9.808585166931152,-9.570063591003418,-14.378486633300781
3998,-8.405229568481445,-10.504220008850098,-9.644612312316895,-11.282037734985352,-10.00786304473877,-10.00786304473877,-8.953754425048828,-11.23558521270752,-11.9512300491333,-11.9512300491333,-7.369466781616211,-10.000065803527832,-9.031085014343262,-12.761550903320312
3999,-8.416391372680664,-10.519102096557617,-9.666935920715332,-11.326684951782227,-9.374649047851562,-9.374649047851562,-8.493873596191406,-10.622410774230957,-11.992253303527832,-11.992253303527832,-7.458312511444092,-10.133334159851074,-8.350613594055176,-10.720138549804688
4000,-7.4006667137146,-8.72376823425293,-7.557213306427002,-7.332226753234863,-8.506508827209473,-8.506508827209473,-8.006924629211426,-9.481590270996094,-9.533977508544922,-9.533977508544922,-5.906655788421631,-7.172784805297852,-8.100276947021484,-9.03470230102539
4001,-9.30773639678955,-11.707561492919922,-11.449625015258789,-14.79452133178711,-10.658622741699219,-10.658622741699219,-9.809377670288086,-12.376416206359863,-13.301567077636719,-13.301567077636719,-9.330199241638184,-12.94116497039795,-10.12049388885498,-16.02977752685547
4002,-6.899497032165527,-8.097306251525879,-6.721930027008057,-6.03053092956543,-7.9689130783081055,-7.9689130783081055,-7.5203962326049805,-8.873430252075195,-9.069814682006836,-9.069814682006836,-6.186699867248535,-7.546176910400391,-6.734931945800781,-6.304012298583984
4003,-7.024517059326172,-8.253581047058105,-6.930296421051025,-6.343080520629883,-7.6691131591796875,-7.6691131591796875,-7.215087890625,-8.49179458618164,-9.15073299407959,-9.15073299407959,-6.213146686553955,-7.58143949508667,-7.16413688659668,-7.162422180175781
4004,-9.27471923828125,-11.663538932800293,-11.383590698242188,-14.662452697753906,-10.631423950195312,-10.631423950195312,-9.702629089355469,-12.234085083007812,-12.805632591247559,-12.805632591247559,-9.045609474182129,-12.514280319213867,-10.176409721374512,-16.197525024414062
4005,-9.103872299194336,-11.435742378234863,-11.04189682006836,-13.97906494140625,-10.917762756347656,-10.917762756347656,-9.816865921020508,-12.386401176452637,-12.888842582702637,-12.888842582702637,-8.843283653259277,-12.210790634155273,-10.183606147766113,-16.2191162109375
4006,-9.000202178955078,-11.297515869140625,-10.834556579589844,-13.564384460449219,-10.351814270019531,-10.351814270019531,-9.553922653198242,-12.035809516906738,-12.616681098937988,-12.616681098937988,-8.368123054504395,-11.498050689697266,-10.160550117492676,-16.149948120117188
4007,-8.509933471679688,-10.643824577331543,-9.854019165039062,-11.603309631347656,-10.01323413848877,-10.01323413848877,-9.198408126831055,-11.561790466308594,-12.261923789978027,-12.261923789978027,-8.0737943649292,-11.056557655334473,-9.570063591003418,-14.378486633300781
4008,-8.473834037780762,-10.595691680908203,-9.781820297241211,-11.458911895751953,-10.165873527526855,-10.165873527526855,-9.10116958618164,-11.43213939666748,-12.268656730651855,-12.268656730651855,-8.029515266418457,-10.99013900756836,-9.031085014343262,-12.761550903320312
4009,-8.608226776123047,-10.774882316589355,-10.050605773925781,-11.996482849121094,-9.568652153015137,-9.568652153015137,-8.657384872436523,-10.840426445007324,-12.695231437683105,-12.695231437683105,-8.259520530700684,-11.3351469039917,-8.350613594055176,-10.720138549804688
4010,-7.424083709716797,-8.753039360046387,-7.596240997314453,-7.341997146606445,-8.645263671875,-8.645263671875,-8.219888687133789,-9.747796058654785,-9.954266548156738,-9.954266548156738,-6.513956069946289,-7.982518672943115,-8.100276947021484,-9.03470230102539
4011,-9.90782356262207,-12.507678031921387,-12.649799346923828,-15.005218505859375,-11.443373680114746,-11.443373680114746,-10.590534210205078,-13.41795825958252,-13.7362642288208,-13.7362642288208,-10.306875228881836,-14.40617847442627,-10.12049388885498,-16.02977752685547
4012,-7.395733833312988,-8.717601776123047,-7.548990726470947,-6.176296234130859,-8.608866691589355,-8.608866691589355,-8.087339401245117,-9.582109451293945,-9.647215843200684,-9.647215843200684,-7.065481662750244,-8.717885971069336,-6.734931945800781,-6.304012298583984
4013,-7.767940521240234,-9.182860374450684,-8.16933536529541,-7.106813430786133,-8.355220794677734,-8.355220794677734,-7.989874362945557,-9.460277557373047,-10.19433879852295,-10.19433879852295,-7.286111354827881,-9.012059211730957,-7.16413688659668,-7.162422180175781
4014,-9.713716506958008,-12.248867988586426,-12.261585235595703,-14.228790283203125,-11.39639663696289,-11.39639663696289,-10.432382583618164,-13.2070894241333,-13.106411933898926,-13.106411933898926,-9.98286247253418,-13.920159339904785,-10.176409721374512,-16.197525024414062
4015,-9.957232475280762,-12.573555946350098,-12.748617172241211,-15.20285415649414,-11.652434349060059,-11.652434349060059,-10.681163787841797,-13.538798332214355,-13.973213195800781,-13.973213195800781,-10.22575855255127,-14.284502983093262,-10.183606147766113,-16.2191162109375
4016,-9.299073219299316,-11.69601058959961,-11.43229866027832,-12.57021713256836,-11.138457298278809,-11.138457298278809,-10.502632141113281,-13.300755500793457,-12.911895751953125,-12.911895751953125,-9.018593788146973,-12.473755836486816,-10.160550117492676,-16.149948120117188
4017,-9.043588638305664,-11.355364799499512,-10.921329498291016,-11.54827880859375,-10.862384796142578,-10.862384796142578,-10.035308837890625,-12.677658081054688,-12.670707702636719,-12.670707702636719,-9.155000686645508,-12.678366661071777,-9.570063591003418,-14.378486633300781
4018,-8.994997024536133,-11.290575981140137,-10.824146270751953,-11.353912353515625,-11.015656471252441,-11.015656471252441,-9.890876770019531,-12.485081672668457,-12.59550952911377,-12.59550952911377,-8.985276222229004,-12.423779487609863,-9.031085014343262,-12.761550903320312
4019,-9.041417121887207,-11.352469444274902,-10.916986465454102,-11.539592742919922,-10.443390846252441,-10.443390846252441,-9.537698745727539,-12.014178276062012,-12.690495491027832,-12.690495491027832,-9.129594802856445,-12.640257835388184,-8.350613594055176,-10.720138549804688
4020,-7.922715187072754,-9.376328468322754,-8.427292823791504,-7.493749618530273,-9.357087135314941,-9.357087135314941,-8.959428787231445,-10.672221183776855,-10.376603126525879,-10.376603126525879,-7.440850734710693,-9.218378067016602,-8.100276947021484,-9.03470230102539
4021,-7.793240547180176,-8.788429260253906,-10.592329025268555,-11.910953521728516,-8.937786102294922,-8.937786102294922,-8.169451713562012,-9.684749603271484,-9.62448501586914,-9.62448501586914,-8.51889705657959,-11.724211692810059,-8.309921264648438,-15.458106994628906
4022,-6.407627105712891,-6.9266557693481445,-6.888072967529297,-5.695257186889648,-7.077049255371094,-7.077049255371094,-6.608792781829834,-7.5088982582092285,-7.6823225021362305,-7.6823225021362305,-5.981997966766357,-7.27324104309082,-6.323177814483643,-6.917154312133789
4023,-6.309556484222412,-6.8089704513549805,-6.691930294036865,-5.401042938232422,-7.128175258636475,-7.128175258636475,-6.540059566497803,-7.426418304443359,-7.62732458114624,-7.62732458114624,-5.8000640869140625,-7.030662536621094,-6.897515773773193,-8.35300064086914
4024,-7.6467485427856445,-8.605314254760742,-10.226099014282227,-11.17849349975586,-8.864835739135742,-8.864835739135742,-7.80014181137085,-9.223112106323242,-9.366037368774414,-9.366037368774414,-7.765615463256836,-10.59428882598877,-8.318902969360352,-15.494033813476562
4025,-7.5538129806518555,-8.489145278930664,-9.99376106262207,-10.713817596435547,-8.562620162963867,-8.562620162963867,-7.763047695159912,-9.17674446105957,-9.250478744506836,-9.250478744506836,-7.844642162322998,-10.712828636169434,-8.027099609375,-14.326820373535156
4026,-7.357946872711182,-8.244312286376953,-9.504095077514648,-9.734485626220703,-8.249855041503906,-8.249855041503906,-7.549652099609375,-8.90999984741211,-9.000968933105469,-9.000968933105469,-7.294126987457275,-9.887056350708008,-7.945414066314697,-14.000076293945312
4027,-7.230950832366943,-8.085567474365234,-9.186605453491211,-9.099506378173828,-8.40336799621582,-8.40336799621582,-7.511466979980469,-8.862268447875977,-8.851871490478516,-8.851871490478516,-7.2418131828308105,-9.808585166931152,-7.930357456207275,-13.939849853515625
4028,-7.307730197906494,-8.181541442871094,-9.37855339050293,-9.483402252197266,-8.645895004272461,-8.645895004272461,-7.741735935211182,-9.150104522705078,-9.204887390136719,-9.204887390136719,-7.369466781616211,-10.000065803527832,-7.81162691116333,-13.464927673339844
4029,-7.238563537597656,-8.095083236694336,-9.205636978149414,-9.137569427490234,-8.466163635253906,-8.466163635253906,-7.590522766113281,-8.961088180541992,-9.038925170898438,-9.038925170898438,-7.458312511444092,-10.133334159851074,-7.5486531257629395,-12.413032531738281
4030,-6.527702331542969,-7.070745944976807,-7.1282219886779785,-6.05548095703125,-7.025430202484131,-7.025430202484131,-6.534883975982666,-7.420208930969238,-7.657534599304199,-7.657534599304199,-5.906655788421631,-7.172784805297852,-6.673292636871338,-7.792442321777344
4031,-8.123357772827148,-9.20107650756836,-11.417621612548828,-12.971511840820312,-9.052414894104004,-9.052414894104004,-8.481096267700195,-10.074305534362793,-10.1710844039917,-10.1710844039917,-9.330199241638184,-12.94116497039795,-8.309921264648438,-15.458106994628906
4032,-6.530171871185303,-7.073709011077881,-7.133162021636963,-5.767877578735352,-7.193978309631348,-7.193978309631348,-6.847097873687744,-7.794865608215332,-7.879300594329834,-7.879300594329834,-6.186699867248535,-7.546176910400391,-6.323177814483643,-6.917154312133789
4033,-6.472461700439453,-7.004456996917725,-7.017742156982422,-5.594747543334961,-7.175884246826172,-7.175884246826172,-6.663227081298828,-7.574220180511475,-7.887799263000488,-7.887799263000488,-6.213146686553955,-7.58143949508667,-6.897515773773193,-8.35300064086914
4034,-8.069819450378418,-9.134153366088867,-11.283777236938477,-12.70382308959961,-9.01270580291748,-9.01270580291748,-8.185129165649414,-9.704346656799316,-9.897381782531738,-9.897381782531738,-9.045609474182129,-12.514280319213867,-8.318902969360352,-15.494033813476562
