idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
123,as,they said that we knew that,4.5007171630859375,9.438579559326172,7.59536075592041,8.285330772399902
124,as,they said that we knew that,10.892409324645996,4.323729515075684,3.042750597000122,9.685933113098145
125,as,they said that we knew that,10.199728012084961,15.957260131835938,12.222577095031738,9.413130760192871
126,as,they said that we knew that,10.04458999633789,12.652592658996582,9.432197570800781,9.902060508728027
127,as,they said that we knew that,10.508105278015137,14.98978328704834,7.736920356750488,12.375734329223633
128,as,they said that we knew that,12.718758583068848,13.596237182617188,12.36413860321045,12.42702865600586
129,as,they said that we knew that,9.205265045166016,5.505451202392578,4.015640735626221,10.04123592376709
130,as,they said that we knew that,6.616537094116211,11.249918937683105,9.171795845031738,6.824429988861084
131,as,they said that we knew that,7.492473602294922,9.246057510375977,5.862460613250732,10.565567016601562
132,asas,,4.513523578643799,12.288969039916992,3.7752928733825684,9.835126876831055
133,asas,,7.921322822570801,8.466646194458008,7.6294708251953125,6.8100266456604
134,asas,,1.188104271888733,12.079532623291016,10.117154121398926,6.942376136779785
135,asas,,0.49404287338256836,13.8802490234375,13.206798553466797,0.5722702145576477
136,asas,,5.298759460449219,3.776796817779541,3.5531795024871826,3.8457741737365723
137,asas,,6.356557846069336,9.140379905700684,8.340229988098145,5.814387321472168
138,asas,,8.39150333404541,8.974946022033691,4.035769462585449,12.345619201660156
139,asas,,5.229824542999268,13.645092010498047,13.11844539642334,13.05722427368164
140,asas,,4.252046585083008,14.86533260345459,11.292706489562988,10.588752746582031
141,asas,,4.457493305206299,9.486350059509277,6.708759784698486,10.996620178222656
142,asas,,6.449086666107178,14.44338607788086,9.678573608398438,9.985218048095703
143,asas,,2.8082332611083984,12.797988891601562,12.759910583496094,2.045912504196167
144,asas,,1.187587022781372,8.142131805419922,5.0968403816223145,0.43147969245910645
145,asas,,0.23406976461410522,9.080349922180176,11.437065124511719,0.30123379826545715
146,asas,,1.4514166116714478,12.673359870910645,7.294203758239746,1.16551673412323
147,asas,,1.4522957801818848,18.929658889770508,17.44437026977539,3.509204149246216
148,asas,,1.0188156366348267,12.929105758666992,11.251214027404785,2.4226646423339844
149,asas,,6.64150333404541,15.441507339477539,12.651877403259277,5.07932186126709
150,asas,,6.674357891082764,11.203646659851074,7.985681533813477,13.444365501403809
151,asas,,3.5886876583099365,13.963406562805176,8.994400024414062,1.8860208988189697
152,asas,,2.002004623413086,22.827606201171875,19.651653289794922,2.8504788875579834
153,asas,,0.6757693886756897,16.239423751831055,13.163250923156738,2.112760066986084
154,asas,,2.0379929542541504,17.143787384033203,18.707612991333008,3.6851327419281006
155,asas,,1.0703924894332886,7.481926441192627,6.599552154541016,4.334752559661865
156,asas,,1.2710398435592651,12.272095680236816,13.089792251586914,3.9543709754943848
157,asas,,3.3151912689208984,5.195258140563965,2.677030563354492,7.992974758148193
158,asas,,3.510869026184082,14.827232360839844,14.20230484008789,9.983196258544922
159,asas,,5.679178237915039,14.635441780090332,15.340139389038086,6.311742782592773
